user_id,item_id,job_company,job_scope,rating,user_profile,interaction_type
31,169,UMW Toyota,Manufacturing and Industrial Services,3,Healthcare Worker,view
32,97,CAS Malaysia,Technology and IT Services,5,Tech Enthusiast,view
33,75,Elentec (Malaysia),Manufacturing and Industrial Services,5,Tech Enthusiast,view
35,114,TalentCorp,Consumer Services,2,Healthcare Worker,favorite
35,43,Hanwha Q Cells Malaysia,Manufacturing and Industrial Services,5,Healthcare Worker,favorite
35,112,The Edge Markets,Media and Entertainment,5,Healthcare Worker,view
36,133,OCIM,Manufacturing and Industrial Services,1,Tech Enthusiast,favorite
36,88,Institute of Diplomacy and Foreign Relations Malaysia,Consumer Services,5,Tech Enthusiast,click
37,143,Galaxy Aerospace,Manufacturing and Industrial Services,1,Business Professional,favorite
37,147,BRAND'S Suntory,Manufacturing and Industrial Services,2,Business Professional,view
37,134,Naga DDB Tribal,Consumer Services,3,Business Professional,click
38,147,BRAND'S Suntory,Manufacturing and Industrial Services,5,Healthcare Worker,view
38,149,Genting,Consumer Services,2,Healthcare Worker,favorite
43,24,Telekom Malaysia,Technology and IT Services,3,Healthcare Worker,view
43,21,Setel (Malaysia),Financial and Banking Services,5,Healthcare Worker,favorite
43,116,P1,Technology and IT Services,5,Healthcare Worker,view
44,65,Fly Studio (Malaysia),Media and Entertainment,5,Tech Enthusiast,favorite
44,169,UMW Toyota,Manufacturing and Industrial Services,3,Tech Enthusiast,view
45,166,NationGate Solution,Technology and IT Services,5,Tech Enthusiast,view
45,68,Jabatan Kastam Diraja Malaysia,Consumer Services,4,Tech Enthusiast,view
45,130,Tamco,Manufacturing and Industrial Services,1,Tech Enthusiast,favorite
45,125,HICOM Automotive Manufacturers,Manufacturing and Industrial Services,3,Tech Enthusiast,favorite
45,49,Courts (Malaysia),Retail and Consumer Services,4,Tech Enthusiast,favorite
46,97,CAS Malaysia,Technology and IT Services,2,Business Professional,click
47,105,Tele-Paper,Manufacturing and Industrial Services,2,Business Professional,view
47,124,STRAND Aerospace,Manufacturing and Industrial Services,3,Business Professional,view
47,167,TM Research & Development,Technology and IT Services,2,Business Professional,click
48,122,Lembaga Hasil Dalam Negeri,Consumer Services,4,Business Professional,view
48,126,SRM Integration,Technology and IT Services,5,Business Professional,view
49,70,Inland Revenue Board Of Malaysia,Consumer Services,1,Healthcare Worker,view
50,99,J&T Express,Consumer Services,4,Business Professional,click
50,120,George Kent,Consumer Services,3,Business Professional,favorite
51,103,PR1MA,Construction and Real Estate,4,Business Professional,favorite
51,150,Salutica Allied Solutions,Manufacturing and Industrial Services,5,Business Professional,favorite
51,17,Aspiro (Malaysia),Financial and Banking Services,2,Business Professional,click
53,71,Jabatan Kimia Malaysia,Consumer Services,5,Tech Enthusiast,view
54,36,Cempaka Schools Malaysia,Education and Training,4,Business Professional,view
54,130,Tamco,Manufacturing and Industrial Services,5,Business Professional,view
55,64,University Malaysia of Computer Science & Engineering,Education and Training,4,Business Professional,view
56,101,Tentacle Technologies,Technology and IT Services,4,Healthcare Worker,favorite
57,11,Guardian (Malaysia),Healthcare and Wellness,1,Business Professional,view
60,124,STRAND Aerospace,Manufacturing and Industrial Services,4,Business Professional,view
61,99,J&T Express,Consumer Services,5,Business Professional,view
63,3,Hong Leong Malaysia,Financial and Banking Services,1,Business Professional,view
64,6,Lemon Sky Studios (Malaysia),Media and Entertainment,4,Healthcare Worker,click
64,120,George Kent,Consumer Services,5,Healthcare Worker,view
66,47,Panasonic Appliances Air-Conditioning Malaysia,Manufacturing and Industrial Services,2,Business Professional,favorite
66,105,Tele-Paper,Manufacturing and Industrial Services,3,Business Professional,favorite
66,37,AVANA (Malaysia),Technology and IT Services,3,Business Professional,favorite
67,98,Vantage Point Consulting (Malaysia),Consumer Services,4,Business Professional,click
69,161,DPO International,Healthcare and Wellness,1,Business Professional,view
70,125,HICOM Automotive Manufacturers,Manufacturing and Industrial Services,2,Business Professional,view
70,15,Monash University Malaysia,Education and Training,4,Business Professional,view
71,147,BRAND'S Suntory,Manufacturing and Industrial Services,1,Healthcare Worker,view
72,125,HICOM Automotive Manufacturers,Manufacturing and Industrial Services,3,Tech Enthusiast,favorite
74,90,Malaysia University of Science and Technology,Education and Training,2,Healthcare Worker,favorite
75,73,Alliance Steel (Malaysia),Manufacturing and Industrial Services,5,Business Professional,favorite
75,73,Alliance Steel (Malaysia),Manufacturing and Industrial Services,5,Business Professional,view
75,39,Syarikat Takaful Malaysia Berhad,Financial and Banking Services,5,Business Professional,click
76,134,Naga DDB Tribal,Consumer Services,4,Tech Enthusiast,view
77,75,Elentec (Malaysia),Manufacturing and Industrial Services,2,Business Professional,favorite
79,133,OCIM,Manufacturing and Industrial Services,1,Tech Enthusiast,view
80,123,Maqo,Manufacturing and Industrial Services,3,Tech Enthusiast,view
80,82,Aerospace Composites Malaysia,Manufacturing and Industrial Services,5,Tech Enthusiast,view
81,153,City University College of Science and Technology,Education and Training,5,Healthcare Worker,view
82,147,BRAND'S Suntory,Manufacturing and Industrial Services,5,Healthcare Worker,favorite
83,105,Tele-Paper,Manufacturing and Industrial Services,5,Tech Enthusiast,view
84,37,AVANA (Malaysia),Technology and IT Services,5,Tech Enthusiast,view
84,137,Troopers Innovation,Technology and IT Services,3,Tech Enthusiast,view
85,9,Bank Rakyat (Malaysia),Financial and Banking Services,5,Business Professional,view
85,120,George Kent,Consumer Services,1,Business Professional,view
86,105,Tele-Paper,Manufacturing and Industrial Services,2,Tech Enthusiast,favorite
86,152,Universal Music Group,Media and Entertainment,1,Tech Enthusiast,favorite
86,164,Sepakat Setia Perunding,Consumer Services,5,Tech Enthusiast,view
87,68,Jabatan Kastam Diraja Malaysia,Consumer Services,5,Business Professional,favorite
88,50,Percetakan Nasional Malaysia Berhad,Media and Entertainment,3,Healthcare Worker,click
89,71,Jabatan Kimia Malaysia,Consumer Services,5,Healthcare Worker,favorite
90,146,11street,Retail and Consumer Services,5,Business Professional,view
91,18,SOCAR MOBILITY MALAYSIA,Consumer Services,2,Healthcare Worker,view
92,58,Malaysia Transformer Manufacturing,Manufacturing and Industrial Services,5,Business Professional,favorite
92,130,Tamco,Manufacturing and Industrial Services,5,Business Professional,view
92,62,Revenue Group (Malaysia),Financial and Banking Services,5,Business Professional,view
96,167,TM Research & Development,Technology and IT Services,4,Healthcare Worker,favorite
96,116,P1,Technology and IT Services,3,Healthcare Worker,view
97,116,P1,Technology and IT Services,3,Healthcare Worker,favorite
97,47,Panasonic Appliances Air-Conditioning Malaysia,Manufacturing and Industrial Services,5,Healthcare Worker,view
98,155,Fairview International School,Education and Training,4,Healthcare Worker,click
99,36,Cempaka Schools Malaysia,Education and Training,4,Healthcare Worker,view
99,87,Bank Negara,Financial and Banking Services,5,Healthcare Worker,view
100,104,2X,Technology and IT Services,2,Tech Enthusiast,view
102,40,Nippon Paint (Malaysia),Manufacturing and Industrial Services,4,Business Professional,view
102,145,Social Security Organisation,Consumer Services,1,Business Professional,click
103,167,TM Research & Development,Technology and IT Services,4,Healthcare Worker,view
103,80,Malaysia Competition Commission,Consumer Services,1,Healthcare Worker,favorite
104,58,Malaysia Transformer Manufacturing,Manufacturing and Industrial Services,3,Tech Enthusiast,favorite
106,43,Hanwha Q Cells Malaysia,Manufacturing and Industrial Services,3,Tech Enthusiast,click
106,70,Inland Revenue Board Of Malaysia,Consumer Services,5,Tech Enthusiast,click
106,144,SUPA,Technology and IT Services,1,Tech Enthusiast,view
107,75,Elentec (Malaysia),Manufacturing and Industrial Services,1,Business Professional,favorite
107,111,ELMLAB,Technology and IT Services,5,Business Professional,favorite
108,42,Chemical Company of Malaysia,Manufacturing and Industrial Services,1,Tech Enthusiast,view
109,57,AMG International (Malaysia),Retail and Consumer Services,2,Business Professional,favorite
113,104,2X,Technology and IT Services,3,Tech Enthusiast,favorite
114,46,ASE Electronics Malaysia,Manufacturing and Industrial Services,5,Healthcare Worker,click
117,168,BigPay,Financial and Banking Services,1,Healthcare Worker,view
118,91,Malaysia Milk,Retail and Consumer Services,5,Business Professional,click
118,126,SRM Integration,Technology and IT Services,2,Business Professional,view
118,107,HSBC Electronic Data Processing,Financial and Banking Services,3,Business Professional,favorite
119,120,George Kent,Consumer Services,5,Tech Enthusiast,favorite
121,99,J&T Express,Consumer Services,2,Business Professional,view
124,50,Percetakan Nasional Malaysia Berhad,Media and Entertainment,5,Healthcare Worker,favorite
124,69,"Ministry of Tourism, Arts and Culture Malaysia",Consumer Services,2,Healthcare Worker,click
125,27,Clinical Research Malaysia,Healthcare and Wellness,3,Healthcare Worker,favorite
126,143,Galaxy Aerospace,Manufacturing and Industrial Services,2,Tech Enthusiast,view
127,32,MiCare (Malaysia),Healthcare and Wellness,2,Business Professional,view
128,105,Tele-Paper,Manufacturing and Industrial Services,3,Tech Enthusiast,view
128,166,NationGate Solution,Technology and IT Services,5,Tech Enthusiast,click
128,20,Alliance Bank Malaysia,Financial and Banking Services,4,Tech Enthusiast,view
129,170,iMoney Group,Financial and Banking Services,5,Tech Enthusiast,view
130,105,Tele-Paper,Manufacturing and Industrial Services,5,Healthcare Worker,view
131,95,Human Resources Development Fund Malaysia,Consumer Services,5,Tech Enthusiast,view
135,9,Bank Rakyat (Malaysia),Financial and Banking Services,3,Healthcare Worker,favorite
135,95,Human Resources Development Fund Malaysia,Consumer Services,1,Healthcare Worker,view
138,124,STRAND Aerospace,Manufacturing and Industrial Services,2,Healthcare Worker,view
140,172,Esther Ong Tengku Saiful & Sree,Consumer Services,2,Healthcare Worker,favorite
142,157,SalesWorks,Consumer Services,3,Business Professional,view
144,88,Institute of Diplomacy and Foreign Relations Malaysia,Consumer Services,5,Business Professional,view
144,4,Jabatan Kerja Raya Malaysia,Consumer Services,2,Business Professional,view
144,39,Syarikat Takaful Malaysia Berhad,Financial and Banking Services,4,Business Professional,favorite
145,32,MiCare (Malaysia),Healthcare and Wellness,1,Business Professional,view
146,162,Safetyware,Healthcare and Wellness,1,Tech Enthusiast,view
147,29,Asian Secrets (Malaysia),Retail and Consumer Services,5,Healthcare Worker,view
147,141,Jobstreet.com,Education and Training,3,Healthcare Worker,click
147,47,Panasonic Appliances Air-Conditioning Malaysia,Manufacturing and Industrial Services,4,Healthcare Worker,view
147,101,Tentacle Technologies,Technology and IT Services,4,Healthcare Worker,view
148,147,BRAND'S Suntory,Manufacturing and Industrial Services,2,Tech Enthusiast,view
148,82,Aerospace Composites Malaysia,Manufacturing and Industrial Services,2,Tech Enthusiast,view
149,19,Kementerian Kesihatan Malaysia,Healthcare and Wellness,4,Healthcare Worker,favorite
149,47,Panasonic Appliances Air-Conditioning Malaysia,Manufacturing and Industrial Services,2,Healthcare Worker,view
149,105,Tele-Paper,Manufacturing and Industrial Services,1,Healthcare Worker,view
150,102,Agrobank,Financial and Banking Services,3,Business Professional,view
151,97,CAS Malaysia,Technology and IT Services,4,Healthcare Worker,view
151,154,English Language,Education and Training,2,Healthcare Worker,favorite
152,121,Agensi Nuklear,Manufacturing and Industrial Services,2,Tech Enthusiast,view
153,143,Galaxy Aerospace,Manufacturing and Industrial Services,5,Tech Enthusiast,favorite
153,31,Delivery Hero (Malaysia),Consumer Services,3,Tech Enthusiast,favorite
153,76,IBM Global Delivery Centre (Malaysia),Technology and IT Services,3,Tech Enthusiast,favorite
155,169,UMW Toyota,Manufacturing and Industrial Services,1,Business Professional,view
156,133,OCIM,Manufacturing and Industrial Services,2,Business Professional,favorite
156,153,City University College of Science and Technology,Education and Training,1,Business Professional,favorite
161,60,MYSense (Malaysia),Technology and IT Services,4,Business Professional,view
162,27,Clinical Research Malaysia,Healthcare and Wellness,4,Business Professional,view
162,89,Malaysia Building Society,Financial and Banking Services,2,Business Professional,favorite
163,77,Swift Energy (Malaysia),Manufacturing and Industrial Services,2,Tech Enthusiast,view
164,109,PappaRich,Healthcare and Wellness,5,Tech Enthusiast,view
167,68,Jabatan Kastam Diraja Malaysia,Consumer Services,2,Business Professional,click
167,118,Credit Guarantee,Financial and Banking Services,1,Business Professional,view
170,69,"Ministry of Tourism, Arts and Culture Malaysia",Consumer Services,5,Healthcare Worker,favorite
171,139,Taylors Education Group,Education and Training,5,Business Professional,view
172,150,Salutica Allied Solutions,Manufacturing and Industrial Services,4,Healthcare Worker,click
173,84,City University Malaysia,Education and Training,5,Business Professional,favorite
174,77,Swift Energy (Malaysia),Manufacturing and Industrial Services,1,Tech Enthusiast,view
176,120,George Kent,Consumer Services,4,Business Professional,favorite
177,91,Malaysia Milk,Retail and Consumer Services,5,Tech Enthusiast,view
178,140,Meta Research,Technology and IT Services,5,Healthcare Worker,view
180,95,Human Resources Development Fund Malaysia,Consumer Services,4,Healthcare Worker,view
181,135,Tealive,Healthcare and Wellness,5,Business Professional,view
182,47,Panasonic Appliances Air-Conditioning Malaysia,Manufacturing and Industrial Services,3,Business Professional,favorite
182,88,Institute of Diplomacy and Foreign Relations Malaysia,Consumer Services,1,Business Professional,view
183,25,Human Resource Development (Malaysia),Consumer Services,1,Tech Enthusiast,view
183,93,Finisar (Malaysia),Manufacturing and Industrial Services,3,Tech Enthusiast,favorite
184,121,Agensi Nuklear,Manufacturing and Industrial Services,3,Healthcare Worker,favorite
184,70,Inland Revenue Board Of Malaysia,Consumer Services,1,Healthcare Worker,view
185,120,George Kent,Consumer Services,5,Healthcare Worker,favorite
185,72,Malaysia LNG,Manufacturing and Industrial Services,1,Healthcare Worker,view
185,43,Hanwha Q Cells Malaysia,Manufacturing and Industrial Services,4,Healthcare Worker,click
187,137,Troopers Innovation,Technology and IT Services,3,Business Professional,view
188,95,Human Resources Development Fund Malaysia,Consumer Services,3,Healthcare Worker,view
188,123,Maqo,Manufacturing and Industrial Services,1,Healthcare Worker,click
189,108,Bank Muamalat,Financial and Banking Services,2,Healthcare Worker,favorite
190,25,Human Resource Development (Malaysia),Consumer Services,2,Business Professional,favorite
190,12,IJM (Malaysia),Construction and Real Estate,1,Business Professional,click
192,127,Mechmar,Manufacturing and Industrial Services,5,Healthcare Worker,view
192,150,Salutica Allied Solutions,Manufacturing and Industrial Services,3,Healthcare Worker,favorite
193,43,Hanwha Q Cells Malaysia,Manufacturing and Industrial Services,3,Business Professional,favorite
194,14,Prasarana Malaysia Berhad,Consumer Services,1,Business Professional,click
195,125,HICOM Automotive Manufacturers,Manufacturing and Industrial Services,3,Business Professional,click
196,83,Malaysia Digital Economy,Retail and Consumer Services,4,Business Professional,view
196,148,Hitachi eBworx,Financial and Banking Services,1,Business Professional,click
199,70,Inland Revenue Board Of Malaysia,Consumer Services,2,Tech Enthusiast,favorite
199,10,IRIS (Malaysia),Financial and Banking Services,5,Tech Enthusiast,view
200,172,Esther Ong Tengku Saiful & Sree,Consumer Services,2,Business Professional,favorite
202,57,AMG International (Malaysia),Retail and Consumer Services,3,Business Professional,view
202,114,TalentCorp,Consumer Services,5,Business Professional,view
203,150,Salutica Allied Solutions,Manufacturing and Industrial Services,4,Tech Enthusiast,view
205,133,OCIM,Manufacturing and Industrial Services,2,Healthcare Worker,view
206,70,Inland Revenue Board Of Malaysia,Consumer Services,2,Healthcare Worker,view
206,58,Malaysia Transformer Manufacturing,Manufacturing and Industrial Services,5,Healthcare Worker,view
206,27,Clinical Research Malaysia,Healthcare and Wellness,4,Healthcare Worker,click
207,116,P1,Technology and IT Services,4,Healthcare Worker,view
207,35,Early Autism Project (Malaysia),Healthcare and Wellness,5,Healthcare Worker,view
208,121,Agensi Nuklear,Manufacturing and Industrial Services,1,Healthcare Worker,favorite
208,25,Human Resource Development (Malaysia),Consumer Services,2,Healthcare Worker,click
209,75,Elentec (Malaysia),Manufacturing and Industrial Services,3,Business Professional,view
210,14,Prasarana Malaysia Berhad,Consumer Services,3,Healthcare Worker,view
210,3,Hong Leong Malaysia,Financial and Banking Services,3,Healthcare Worker,view
216,70,Inland Revenue Board Of Malaysia,Consumer Services,2,Healthcare Worker,view
216,3,Hong Leong Malaysia,Financial and Banking Services,1,Healthcare Worker,favorite
216,25,Human Resource Development (Malaysia),Consumer Services,3,Healthcare Worker,click
217,77,Swift Energy (Malaysia),Manufacturing and Industrial Services,1,Business Professional,favorite
218,85,Esri Malaysia,Technology and IT Services,1,Healthcare Worker,favorite
221,141,Jobstreet.com,Education and Training,4,Tech Enthusiast,favorite
221,118,Credit Guarantee,Financial and Banking Services,2,Tech Enthusiast,view
221,94,China Construction Development (Malaysia),Construction and Real Estate,1,Tech Enthusiast,favorite
222,99,J&T Express,Consumer Services,5,Healthcare Worker,view
223,40,Nippon Paint (Malaysia),Manufacturing and Industrial Services,1,Healthcare Worker,click
224,54,Composites Technology Research Malaysia,Manufacturing and Industrial Services,2,Business Professional,view
224,145,Social Security Organisation,Consumer Services,2,Business Professional,click
224,51,ABC (Malaysia),Media and Entertainment,5,Business Professional,favorite
225,171,CUCKOO International,Retail and Consumer Services,2,Tech Enthusiast,favorite
225,90,Malaysia University of Science and Technology,Education and Training,2,Tech Enthusiast,view
226,3,Hong Leong Malaysia,Financial and Banking Services,2,Tech Enthusiast,favorite
226,146,11street,Retail and Consumer Services,3,Tech Enthusiast,view
226,75,Elentec (Malaysia),Manufacturing and Industrial Services,5,Tech Enthusiast,favorite
229,150,Salutica Allied Solutions,Manufacturing and Industrial Services,3,Tech Enthusiast,view
229,167,TM Research & Development,Technology and IT Services,1,Tech Enthusiast,click
229,143,Galaxy Aerospace,Manufacturing and Industrial Services,1,Tech Enthusiast,favorite
233,79,DH SSC Malaysia,Technology and IT Services,5,Tech Enthusiast,view
234,80,Malaysia Competition Commission,Consumer Services,4,Tech Enthusiast,favorite
234,120,George Kent,Consumer Services,3,Tech Enthusiast,favorite
235,121,Agensi Nuklear,Manufacturing and Industrial Services,1,Healthcare Worker,view
236,140,Meta Research,Technology and IT Services,5,Business Professional,view
237,167,TM Research & Development,Technology and IT Services,5,Healthcare Worker,view
238,44,Moore Malaysia,Financial and Banking Services,5,Tech Enthusiast,view
239,85,Esri Malaysia,Technology and IT Services,3,Tech Enthusiast,view
239,7,Boost (Malaysia),Financial and Banking Services,2,Tech Enthusiast,favorite
240,98,Vantage Point Consulting (Malaysia),Consumer Services,1,Tech Enthusiast,click
241,88,Institute of Diplomacy and Foreign Relations Malaysia,Consumer Services,5,Business Professional,click
243,24,Telekom Malaysia,Technology and IT Services,4,Healthcare Worker,view
244,36,Cempaka Schools Malaysia,Education and Training,5,Business Professional,view
246,156,Fitness First Asia,Healthcare and Wellness,2,Tech Enthusiast,view
246,28,Malaysia Debt Ventures,Financial and Banking Services,3,Tech Enthusiast,view
246,31,Delivery Hero (Malaysia),Consumer Services,1,Tech Enthusiast,click
247,93,Finisar (Malaysia),Manufacturing and Industrial Services,3,Tech Enthusiast,favorite
248,40,Nippon Paint (Malaysia),Manufacturing and Industrial Services,3,Business Professional,view
248,106,Marigold,Manufacturing and Industrial Services,3,Business Professional,view
249,147,BRAND'S Suntory,Manufacturing and Industrial Services,2,Business Professional,favorite
249,108,Bank Muamalat,Financial and Banking Services,3,Business Professional,favorite
249,41,Common Ground (Malaysia),Construction and Real Estate,3,Business Professional,favorite
251,42,Chemical Company of Malaysia,Manufacturing and Industrial Services,5,Healthcare Worker,view
251,127,Mechmar,Manufacturing and Industrial Services,4,Healthcare Worker,view
251,102,Agrobank,Financial and Banking Services,3,Healthcare Worker,favorite
253,57,AMG International (Malaysia),Retail and Consumer Services,3,Healthcare Worker,click
254,172,Esther Ong Tengku Saiful & Sree,Consumer Services,1,Tech Enthusiast,view
255,134,Naga DDB Tribal,Consumer Services,2,Business Professional,favorite
255,97,CAS Malaysia,Technology and IT Services,5,Business Professional,click
256,98,Vantage Point Consulting (Malaysia),Consumer Services,2,Business Professional,favorite
256,19,Kementerian Kesihatan Malaysia,Healthcare and Wellness,2,Business Professional,favorite
257,75,Elentec (Malaysia),Manufacturing and Industrial Services,3,Business Professional,view
257,121,Agensi Nuklear,Manufacturing and Industrial Services,4,Business Professional,favorite
257,69,"Ministry of Tourism, Arts and Culture Malaysia",Consumer Services,2,Business Professional,view
258,160,Cardzone,Technology and IT Services,1,Business Professional,view
260,59,IAC (Malaysia),Consumer Services,2,Healthcare Worker,view
260,63,Forest Research Institute Malaysia,Technology and IT Services,4,Healthcare Worker,click
260,80,Malaysia Competition Commission,Consumer Services,4,Healthcare Worker,favorite
261,58,Malaysia Transformer Manufacturing,Manufacturing and Industrial Services,3,Business Professional,view
262,69,"Ministry of Tourism, Arts and Culture Malaysia",Consumer Services,2,Business Professional,view
263,123,Maqo,Manufacturing and Industrial Services,5,Business Professional,view
264,93,Finisar (Malaysia),Manufacturing and Industrial Services,3,Healthcare Worker,view
266,77,Swift Energy (Malaysia),Manufacturing and Industrial Services,1,Business Professional,view
269,43,Hanwha Q Cells Malaysia,Manufacturing and Industrial Services,5,Healthcare Worker,view
269,124,STRAND Aerospace,Manufacturing and Industrial Services,5,Healthcare Worker,favorite
270,125,HICOM Automotive Manufacturers,Manufacturing and Industrial Services,2,Healthcare Worker,click
271,149,Genting,Consumer Services,5,Business Professional,favorite
271,124,STRAND Aerospace,Manufacturing and Industrial Services,3,Business Professional,view
271,113,KRA Group,Consumer Services,5,Business Professional,favorite
272,53,SVO Group (Malaysia),Retail and Consumer Services,2,Healthcare Worker,favorite
272,63,Forest Research Institute Malaysia,Technology and IT Services,1,Healthcare Worker,view
273,172,Esther Ong Tengku Saiful & Sree,Consumer Services,3,Business Professional,click
275,18,SOCAR MOBILITY MALAYSIA,Consumer Services,2,Tech Enthusiast,view
276,105,Tele-Paper,Manufacturing and Industrial Services,3,Healthcare Worker,view
276,43,Hanwha Q Cells Malaysia,Manufacturing and Industrial Services,1,Healthcare Worker,view
276,31,Delivery Hero (Malaysia),Consumer Services,4,Healthcare Worker,click
277,160,Cardzone,Technology and IT Services,4,Business Professional,view
280,127,Mechmar,Manufacturing and Industrial Services,5,Tech Enthusiast,view
280,87,Bank Negara,Financial and Banking Services,2,Tech Enthusiast,favorite
280,40,Nippon Paint (Malaysia),Manufacturing and Industrial Services,5,Tech Enthusiast,click
280,146,11street,Retail and Consumer Services,5,Tech Enthusiast,view
281,153,City University College of Science and Technology,Education and Training,1,Healthcare Worker,view
281,99,J&T Express,Consumer Services,2,Healthcare Worker,view
281,99,J&T Express,Consumer Services,4,Healthcare Worker,view
281,119,Xepa-Soul Pattinson,Healthcare and Wellness,1,Healthcare Worker,favorite
284,58,Malaysia Transformer Manufacturing,Manufacturing and Industrial Services,2,Healthcare Worker,favorite
285,143,Galaxy Aerospace,Manufacturing and Industrial Services,5,Healthcare Worker,click
286,67,ASQ (Malaysia),Consumer Services,2,Healthcare Worker,favorite
286,122,Lembaga Hasil Dalam Negeri,Consumer Services,5,Healthcare Worker,favorite
287,148,Hitachi eBworx,Financial and Banking Services,3,Business Professional,click
288,93,Finisar (Malaysia),Manufacturing and Industrial Services,5,Healthcare Worker,view
289,16,SilTerra Malaysia Sdn. Bhd.,Manufacturing and Industrial Services,1,Tech Enthusiast,favorite
289,129,Become (Malaysia),Retail and Consumer Services,3,Tech Enthusiast,view
290,127,Mechmar,Manufacturing and Industrial Services,2,Tech Enthusiast,view
290,127,Mechmar,Manufacturing and Industrial Services,4,Tech Enthusiast,view
290,51,ABC (Malaysia),Media and Entertainment,5,Tech Enthusiast,favorite
290,162,Safetyware,Healthcare and Wellness,3,Tech Enthusiast,view
290,15,Monash University Malaysia,Education and Training,5,Tech Enthusiast,view
291,164,Sepakat Setia Perunding,Consumer Services,5,Healthcare Worker,view
292,157,SalesWorks,Consumer Services,3,Business Professional,view
292,160,Cardzone,Technology and IT Services,5,Business Professional,favorite
294,51,ABC (Malaysia),Media and Entertainment,5,Tech Enthusiast,favorite
295,10,IRIS (Malaysia),Financial and Banking Services,2,Tech Enthusiast,view
296,1,INVOKE Solutions (Malaysia),Consumer Services,3,Business Professional,favorite
296,165,Universiti Tenaga Nasional,Education and Training,1,Business Professional,view
297,88,Institute of Diplomacy and Foreign Relations Malaysia,Consumer Services,1,Tech Enthusiast,click
299,119,Xepa-Soul Pattinson,Healthcare and Wellness,3,Tech Enthusiast,view
299,110,MRANTI,Technology and IT Services,2,Tech Enthusiast,favorite
299,151,Parkson,Retail and Consumer Services,4,Tech Enthusiast,view
300,149,Genting,Consumer Services,4,Tech Enthusiast,click
300,80,Malaysia Competition Commission,Consumer Services,2,Tech Enthusiast,favorite
300,77,Swift Energy (Malaysia),Manufacturing and Industrial Services,5,Tech Enthusiast,click
301,105,Tele-Paper,Manufacturing and Industrial Services,2,Business Professional,favorite
303,95,Human Resources Development Fund Malaysia,Consumer Services,1,Healthcare Worker,view
305,120,George Kent,Consumer Services,4,Healthcare Worker,favorite
306,108,Bank Muamalat,Financial and Banking Services,5,Healthcare Worker,view
306,58,Malaysia Transformer Manufacturing,Manufacturing and Industrial Services,4,Healthcare Worker,view
307,147,BRAND'S Suntory,Manufacturing and Industrial Services,3,Healthcare Worker,view
308,84,City University Malaysia,Education and Training,2,Business Professional,favorite
309,92,MTU Services (Malaysia),Construction and Real Estate,3,Tech Enthusiast,view
309,169,UMW Toyota,Manufacturing and Industrial Services,2,Tech Enthusiast,view
310,169,UMW Toyota,Manufacturing and Industrial Services,3,Healthcare Worker,click
311,77,Swift Energy (Malaysia),Manufacturing and Industrial Services,5,Tech Enthusiast,view
311,130,Tamco,Manufacturing and Industrial Services,1,Tech Enthusiast,view
311,52,Universiti Tun Hussein Onn Malaysia,Education and Training,4,Tech Enthusiast,view
